player,frame,ball_x,ball_y,ball_vx,ball_vy,self_px,opp_px,ball_served,serving_is_self,blocker_x,pred_landing_x,prev1_ball_vx,prev1_ball_vy,prev1_self_px,prev2_ball_vx,prev2_ball_vy,prev2_self_px,action
1P,29,182,214,7,-7,160,145,1,1,140,69.0,7,-7,160,7,-7,160,MOVE_RIGHT
2P,29,182,214,7,-7,145,160,1,0,140,69.0,7,-7,145,7,-7,140,MOVE_RIGHT
1P,30,189,207,7,-7,160,150,1,1,145,69.0,7,-7,160,7,-7,160,MOVE_RIGHT
2P,30,189,207,7,-7,150,160,1,0,145,69.0,7,-7,150,7,-7,145,MOVE_LEFT
1P,31,190,200,-7,-7,160,145,1,1,150,69.0,-7,-7,160,7,-7,160,MOVE_RIGHT
2P,31,190,200,-7,-7,145,160,1,0,150,69.0,-7,-7,145,7,-7,150,MOVE_LEFT
1P,32,183,193,-7,-7,160,140,1,1,155,69.0,-7,-7,160,-7,-7,160,MOVE_RIGHT
2P,32,183,193,-7,-7,140,160,1,0,155,69.0,-7,-7,140,-7,-7,145,NONE
1P,33,176,186,-7,-7,160,140,1,1,160,69.0,-7,-7,160,-7,-7,160,MOVE_RIGHT
2P,33,176,186,-7,-7,140,160,1,0,160,69.0,-7,-7,140,-7,-7,140,MOVE_LEFT
1P,34,169,179,-7,-7,160,135,1,1,165,69.0,-7,-7,160,-7,-7,160,MOVE_RIGHT
2P,34,169,179,-7,-7,135,160,1,0,165,69.0,-7,-7,135,-7,-7,140,MOVE_LEFT
1P,35,162,172,-7,-7,160,130,1,1,170,69.0,-7,-7,160,-7,-7,160,NONE
2P,35,162,172,-7,-7,130,160,1,0,170,69.0,-7,-7,130,-7,-7,135,MOVE_LEFT
1P,36,155,165,-7,-7,160,125,1,1,165,69.0,-7,-7,160,-7,-7,160,NONE
2P,36,155,165,-7,-7,125,160,1,0,165,69.0,-7,-7,125,-7,-7,130,MOVE_LEFT
1P,37,148,158,-7,-7,160,120,1,1,160,69.0,-7,-7,160,-7,-7,160,MOVE_LEFT
2P,37,148,158,-7,-7,120,160,1,0,160,69.0,-7,-7,120,-7,-7,125,MOVE_LEFT
1P,38,141,151,-7,-7,155,115,1,1,155,69.0,-7,-7,155,-7,-7,160,MOVE_LEFT
2P,38,141,151,-7,-7,115,155,1,0,155,69.0,-7,-7,115,-7,-7,120,MOVE_LEFT
1P,39,134,144,-7,-7,150,110,1,1,150,69.0,-7,-7,150,-7,-7,155,MOVE_LEFT
2P,39,134,144,-7,-7,110,150,1,0,150,69.0,-7,-7,110,-7,-7,115,MOVE_LEFT
1P,40,127,137,-7,-7,145,105,1,1,145,69.0,-7,-7,145,-7,-7,150,MOVE_LEFT
2P,40,127,137,-7,-7,105,145,1,0,145,69.0,-7,-7,105,-7,-7,110,MOVE_LEFT
1P,41,120,130,-7,-7,140,100,1,1,140,69.0,-7,-7,140,-7,-7,145,MOVE_LEFT
2P,41,120,130,-7,-7,100,140,1,0,140,69.0,-7,-7,100,-7,-7,105,MOVE_LEFT
1P,42,113,123,-7,-7,135,95,1,1,135,69.0,-7,-7,135,-7,-7,140,MOVE_LEFT
