player,frame,ball_x,ball_y,ball_vx,ball_vy,self_px,opp_px,ball_served,serving_is_self,blocker_x,pred_landing_x,prev1_ball_vx,prev1_ball_vy,prev1_self_px,prev2_ball_vx,prev2_ball_vy,prev2_self_px,action
1P,36,155,165,-7,-7,160,115,1,1,165,69.0,-7,-7,160,-7,-7,160,NONE
2P,36,155,165,-7,-7,115,160,1,0,165,69.0,-7,-7,115,-7,-7,120,MOVE_RIGHT
1P,37,148,158,-7,-7,160,120,1,1,160,69.0,-7,-7,160,-7,-7,160,MOVE_LEFT
2P,37,148,158,-7,-7,120,160,1,0,160,69.0,-7,-7,120,-7,-7,115,MOVE_LEFT
1P,38,141,151,-7,-7,155,115,1,1,155,69.0,-7,-7,155,-7,-7,160,MOVE_LEFT
2P,38,141,151,-7,-7,115,155,1,0,155,69.0,-7,-7,115,-7,-7,120,MOVE_LEFT
1P,39,134,144,-7,-7,150,110,1,1,150,69.0,-7,-7,150,-7,-7,155,MOVE_LEFT
2P,39,134,144,-7,-7,110,150,1,0,150,69.0,-7,-7,110,-7,-7,115,MOVE_LEFT
1P,40,127,137,-7,-7,145,105,1,1,145,69.0,-7,-7,145,-7,-7,150,MOVE_LEFT
2P,40,127,137,-7,-7,105,145,1,0,145,69.0,-7,-7,105,-7,-7,110,MOVE_LEFT
1P,41,120,130,-7,-7,140,100,1,1,140,69.0,-7,-7,140,-7,-7,145,MOVE_LEFT
2P,41,120,130,-7,-7,100,140,1,0,140,69.0,-7,-7,100,-7,-7,105,MOVE_LEFT
1P,42,113,123,-7,-7,135,95,1,1,135,69.0,-7,-7,135,-7,-7,140,MOVE_LEFT
2P,42,113,123,-7,-7,95,135,1,0,135,69.0,-7,-7,95,-7,-7,100,MOVE_LEFT
1P,43,106,116,-7,-7,130,90,1,1,130,69.0,-7,-7,130,-7,-7,135,MOVE_LEFT
2P,43,106,116,-7,-7,90,130,1,0,130,69.0,-7,-7,90,-7,-7,95,MOVE_LEFT
1P,44,99,109,-7,-7,125,85,1,1,125,69.0,-7,-7,125,-7,-7,130,MOVE_LEFT
2P,44,99,109,-7,-7,85,125,1,0,125,69.0,-7,-7,85,-7,-7,90,MOVE_LEFT
1P,45,92,102,-7,-7,120,80,1,1,120,69.0,-7,-7,120,-7,-7,125,MOVE_LEFT
2P,45,92,102,-7,-7,80,120,1,0,120,69.0,-7,-7,80,-7,-7,85,MOVE_LEFT
1P,49,64,80,-10,7,100,60,1,1,100,35.0,-10,7,100,-7,-7,105,MOVE_LEFT
2P,49,64,80,-10,7,60,100,1,0,100,35.0,-10,7,60,-7,-7,65,MOVE_LEFT
1P,50,54,87,-10,7,95,55,1,1,95,35.0,-10,7,95,-10,7,100,MOVE_LEFT
2P,50,54,87,-10,7,55,95,1,0,95,35.0,-10,7,55,-10,7,60,MOVE_LEFT
1P,51,44,94,-10,7,90,50,1,1,90,35.0,-10,7,90,-10,7,95,MOVE_LEFT
2P,51,44,94,-10,7,50,90,1,0,90,35.0,-10,7,50,-10,7,55,MOVE_LEFT
1P,52,34,101,-10,7,85,45,1,1,85,35.0,-10,7,85,-10,7,90,MOVE_LEFT
2P,52,34,101,-10,7,45,85,1,0,85,35.0,-10,7,45,-10,7,50,MOVE_LEFT
1P,53,24,108,-10,7,80,40,1,1,80,35.0,-10,7,80,-10,7,85,MOVE_LEFT
2P,53,24,108,-10,7,40,80,1,0,80,35.0,-10,7,40,-10,7,45,MOVE_LEFT
1P,54,14,115,-10,7,75,35,1,1,75,35.0,-10,7,75,-10,7,80,MOVE_LEFT
2P,54,14,115,-10,7,35,75,1,0,75,35.0,-10,7,35,-10,7,40,MOVE_LEFT
1P,55,4,122,-10,7,70,30,1,1,70,35.0,-10,7,70,-10,7,75,MOVE_LEFT
2P,55,4,122,-10,7,30,70,1,0,70,35.0,-10,7,30,-10,7,35,MOVE_LEFT
1P,56,0,129,10,7,65,25,1,1,65,35.0,10,7,65,-10,7,70,MOVE_LEFT
2P,56,0,129,10,7,25,65,1,0,65,35.0,10,7,25,-10,7,30,MOVE_RIGHT
1P,57,10,136,10,7,60,30,1,1,60,35.0,10,7,60,10,7,65,MOVE_LEFT
2P,57,10,136,10,7,30,60,1,0,60,35.0,10,7,30,10,7,25,MOVE_RIGHT
1P,58,20,143,10,7,55,35,1,1,55,35.0,10,7,55,10,7,60,MOVE_LEFT
2P,58,20,143,10,7,35,55,1,0,55,35.0,10,7,35,10,7,30,MOVE_RIGHT
1P,59,30,150,10,7,50,40,1,1,50,35.0,10,7,50,10,7,55,MOVE_LEFT
2P,59,30,150,10,7,40,50,1,0,50,35.0,10,7,40,10,7,35,MOVE_RIGHT
1P,60,40,157,10,7,45,45,1,1,45,35.0,10,7,45,10,7,50,NONE
2P,60,40,157,10,7,45,45,1,0,45,35.0,10,7,45,10,7,40,MOVE_RIGHT
1P,61,50,164,10,7,45,50,1,1,40,35.0,10,7,45,10,7,45,NONE
2P,61,50,164,10,7,50,45,1,0,40,35.0,10,7,50,10,7,45,MOVE_RIGHT
1P,62,60,171,10,7,45,55,1,1,35,35.0,10,7,45,10,7,45,MOVE_RIGHT
2P,62,60,171,10,7,55,45,1,0,35,35.0,10,7,55,10,7,50,MOVE_RIGHT
1P,63,70,178,10,7,50,60,1,1,30,35.0,10,7,50,10,7,45,MOVE_RIGHT
2P,63,70,178,10,7,60,50,1,0,30,35.0,10,7,60,10,7,55,MOVE_RIGHT
1P,64,80,185,10,7,55,65,1,1,25,35.0,10,7,55,10,7,50,MOVE_RIGHT
2P,64,80,185,10,7,65,55,1,0,25,35.0,10,7,65,10,7,60,MOVE_RIGHT
1P,65,90,192,10,7,60,70,1,1,20,35.0,10,7,60,10,7,55,MOVE_RIGHT
2P,65,90,192,10,7,70,60,1,0,20,35.0,10,7,70,10,7,65,MOVE_RIGHT
1P,66,100,199,10,7,65,75,1,1,15,35.0,10,7,65,10,7,60,MOVE_RIGHT
2P,66,100,199,10,7,75,65,1,0,15,35.0,10,7,75,10,7,70,MOVE_RIGHT
1P,67,110,206,10,7,70,80,1,1,10,35.0,10,7,70,10,7,65,MOVE_RIGHT
2P,67,110,206,10,7,80,70,1,0,10,35.0,10,7,80,10,7,75,MOVE_RIGHT
1P,68,120,213,10,7,75,85,1,1,5,35.0,10,7,75,10,7,70,MOVE_RIGHT
2P,68,120,213,10,7,85,75,1,0,5,35.0,10,7,85,10,7,80,MOVE_RIGHT
1P,69,130,220,10,7,80,90,1,1,0,35.0,10,7,80,10,7,75,MOVE_RIGHT
2P,69,130,220,10,7,90,80,1,0,0,35.0,10,7,90,10,7,85,MOVE_RIGHT
1P,70,140,227,10,7,85,95,1,1,5,35.0,10,7,85,10,7,80,MOVE_RIGHT
2P,70,140,227,10,7,95,85,1,0,5,35.0,10,7,95,10,7,90,MOVE_RIGHT
1P,71,150,234,10,7,90,100,1,1,10,35.0,10,7,90,10,7,85,MOVE_RIGHT
2P,71,150,234,10,7,100,90,1,0,10,35.0,10,7,100,10,7,95,MOVE_RIGHT
1P,72,160,241,10,7,95,105,1,1,15,35.0,10,7,95,10,7,90,MOVE_RIGHT
2P,72,160,241,10,7,105,95,1,0,15,35.0,10,7,105,10,7,100,MOVE_RIGHT
1P,73,170,248,10,7,100,110,1,1,20,35.0,10,7,100,10,7,95,MOVE_RIGHT
2P,73,170,248,10,7,110,100,1,0,20,35.0,10,7,110,10,7,105,MOVE_RIGHT
1P,74,180,255,10,7,105,115,1,1,25,35.0,10,7,105,10,7,100,MOVE_RIGHT
2P,74,180,255,10,7,115,105,1,0,25,35.0,10,7,115,10,7,110,MOVE_RIGHT
1P,75,190,262,-10,7,110,120,1,1,30,35.0,-10,7,110,10,7,105,MOVE_RIGHT
2P,75,190,262,-10,7,120,110,1,0,30,35.0,-10,7,120,10,7,115,MOVE_LEFT
1P,76,180,269,-10,7,115,115,1,1,35,35.0,-10,7,115,-10,7,110,MOVE_RIGHT
2P,76,180,269,-10,7,115,115,1,0,35,35.0,-10,7,115,-10,7,120,MOVE_LEFT
1P,77,170,276,-10,7,120,110,1,1,40,35.0,-10,7,120,-10,7,115,MOVE_RIGHT
2P,77,170,276,-10,7,110,120,1,0,40,35.0,-10,7,110,-10,7,115,MOVE_LEFT
1P,78,160,283,-10,7,125,105,1,1,45,35.0,-10,7,125,-10,7,120,MOVE_RIGHT
2P,78,160,283,-10,7,105,125,1,0,45,35.0,-10,7,105,-10,7,110,MOVE_LEFT
1P,79,150,290,-10,7,130,100,1,1,50,35.0,-10,7,130,-10,7,125,MOVE_RIGHT
2P,79,150,290,-10,7,100,130,1,0,50,35.0,-10,7,100,-10,7,105,MOVE_LEFT
1P,80,140,297,-10,7,135,95,1,1,55,35.0,-10,7,135,-10,7,130,NONE
2P,80,140,297,-10,7,95,135,1,0,55,35.0,-10,7,95,-10,7,100,MOVE_LEFT
1P,81,130,304,-10,7,135,90,1,1,60,35.0,-10,7,135,-10,7,135,MOVE_RIGHT
2P,81,130,304,-10,7,90,135,1,0,60,35.0,-10,7,90,-10,7,95,MOVE_LEFT
1P,82,120,311,-10,7,140,85,1,1,65,35.0,-10,7,140,-10,7,135,NONE
2P,82,120,311,-10,7,85,140,1,0,65,35.0,-10,7,85,-10,7,90,MOVE_LEFT
1P,83,110,318,-10,7,140,80,1,1,70,35.0,-10,7,140,-10,7,140,MOVE_LEFT
2P,83,110,318,-10,7,80,140,1,0,70,35.0,-10,7,80,-10,7,85,MOVE_LEFT
1P,84,100,325,-10,7,135,75,1,1,75,35.0,-10,7,135,-10,7,140,MOVE_LEFT
2P,84,100,325,-10,7,75,135,1,0,75,35.0,-10,7,75,-10,7,80,MOVE_LEFT
1P,85,90,332,-10,7,130,70,1,1,80,35.0,-10,7,130,-10,7,135,MOVE_LEFT
2P,85,90,332,-10,7,70,130,1,0,80,35.0,-10,7,70,-10,7,75,MOVE_LEFT
1P,86,80,339,-10,7,125,65,1,1,85,35.0,-10,7,125,-10,7,130,MOVE_LEFT
2P,86,80,339,-10,7,65,125,1,0,85,35.0,-10,7,65,-10,7,70,MOVE_LEFT
1P,87,70,346,-10,7,120,60,1,1,90,35.0,-10,7,120,-10,7,125,MOVE_LEFT
